symbol,interval,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
BTCUSDT,1d,1727222400000,64262.70000000,64817.99000000,62947.08000000,63152.01000000,17813.11168000,1727308799999,1135250828.27321490,3355531,8384.67983000,534590429.21054930,0
BTCUSDT,1d,1727308800000,63152.01000000,65839.00000000,62670.00000000,65173.99000000,28373.30593000,1727395199999,1831204595.94489680,4361333,15041.98860000,971176161.38708060,0
BTCUSDT,1d,1727395200000,65173.99000000,66498.00000000,64819.90000000,65769.95000000,22048.80487000,1727481599999,1448852210.36022120,3498529,11092.85716000,729156061.36792320,0
BTCUSDT,1d,1727481600000,65769.95000000,66260.00000000,65422.23000000,65858.00000000,9127.23316000,1727567999999,600118483.12225210,1341703,4501.22534000,296026669.83370660,0
BTCUSDT,1d,1727568000000,65858.00000000,66076.12000000,65432.00000000,65602.01000000,8337.74111000,1727654399999,547980013.71523030,1413449,4132.93780000,271622295.35352910,0
BTCUSDT,1d,1727654400000,65602.01000000,65618.80000000,62856.30000000,63327.59000000,30011.08752000,1727740799999,1920250261.74421610,3978584,14451.93044000,924324016.73584480,0
BTCUSDT,1d,1727740800000,63327.60000000,64130.63000000,60164.00000000,60805.78000000,43671.48108000,1727827199999,2723672081.83262550,5607069,20951.74486000,1308603194.33104010,0
BTCUSDT,1d,1727827200000,60804.92000000,62390.31000000,60000.00000000,60649.28000000,31534.70118000,1727913599999,1928377637.83678390,5313210,15719.32519000,961468320.51547270,0
BTCUSDT,1d,1727913600000,60649.27000000,61477.19000000,59828.11000000,60752.71000000,26221.43472000,1727999999999,1590773866.80744340,5244004,12906.51464000,783073701.73311730,0
BTCUSDT,1d,1728000000000,60752.72000000,62484.85000000,60459.90000000,62086.00000000,21294.65994000,1728086399999,1311145630.50204980,3798631,10689.34488000,658151113.93518280,0
BTCUSDT,1d,1728086400000,62086.00000000,62370.56000000,61689.26000000,62058.00000000,7807.46141000,1728172799999,484588468.34191230,1183175,3690.55536000,229107774.75427000,0
BTCUSDT,1d,1728172800000,62058.01000000,62975.00000000,61798.97000000,62819.91000000,8906.86177000,1728259199999,555669634.47735140,1556553,4798.29924000,299426562.83034480,0
BTCUSDT,1d,1728259200000,62819.91000000,64478.19000000,62128.00000000,62224.00000000,25966.18520000,1728345599999,1646315506.57919460,4809342,12760.73415000,809108823.51261260,0
BTCUSDT,1d,1728345600000,62224.01000000,63200.00000000,61860.31000000,62160.49000000,19702.22371000,1728431999999,1230076253.81865700,3798438,9614.36947000,600357593.78737790,0
BTCUSDT,1d,1728432000000,62160.50000000,62543.75000000,60301.00000000,60636.02000000,20011.15684000,1728518399999,1234778807.59324170,3668363,9454.70171000,583725546.03098850,0
BTCUSDT,1d,1728518400000,60636.01000000,61321.68000000,58946.00000000,60326.39000000,23967.92481000,1728604799999,1445604381.93637920,3872577,10827.77272000,653182369.94276710,0
BTCUSDT,1d,1728604800000,60326.40000000,63417.56000000,60087.64000000,62540.00000000,23641.35209000,1728691199999,1462219576.84986490,3222180,12099.56755000,748431117.91657060,0
BTCUSDT,1d,1728691200000,62539.99000000,63480.00000000,62487.23000000,63206.22000000,10911.30116000,1728777599999,686978508.98875430,1770837,5196.91695000,327263147.47604010,0
BTCUSDT,1d,1728777600000,63206.23000000,63285.72000000,62050.00000000,62870.02000000,11909.21995000,1728863999999,746564374.20823870,2242529,5855.04617000,367046338.91942090,0
BTCUSDT,1d,1728864000000,62870.02000000,66500.00000000,62457.81000000,66083.99000000,37669.95222000,1728950399999,2450094472.81354500,4977577,19941.11906000,1297062359.24748640,0
BTCUSDT,1d,1728950400000,66084.00000000,67950.00000000,64800.01000000,67074.14000000,43683.95423000,1729036799999,2894021862.31951800,6245619,21820.68200000,1446378130.56598510,0
BTCUSDT,1d,1729036800000,67074.14000000,68424.00000000,66750.49000000,67620.01000000,29938.25544000,1729123199999,2024560410.10626740,5109685,15212.87402000,1029210667.47582840,0
BTCUSDT,1d,1729123200000,67620.00000000,67939.40000000,66666.00000000,67421.78000000,25328.22861000,1729209599999,1702164439.56545950,3981960,12153.94712000,816887407.40423790,0
BTCUSDT,1d,1729209600000,67421.78000000,69000.00000000,67192.36000000,68428.00000000,28725.63500000,1729295999999,1959735899.87696440,4010969,14218.17850000,970440964.26681170,0
BTCUSDT,1d,1729296000000,68427.99000000,68693.26000000,68010.00000000,68378.00000000,8193.66737000,1729382399999,559628628.96131050,1152428,4071.19627000,278085065.51769250,0
BTCUSDT,1d,1729382400000,68377.99000000,69400.00000000,68100.00000000,69031.99000000,12442.47378000,1729468799999,854082429.81058610,1563795,6772.92574000,465001555.93098300,0
BTCUSDT,1d,1729468800000,69032.00000000,69519.52000000,66840.67000000,67377.50000000,31374.42184000,1729555199999,2130833593.54669770,3686777,13593.60828000,923860758.42088440,0
BTCUSDT,1d,1729555200000,67377.50000000,67836.01000000,66571.42000000,67426.00000000,24598.96268000,1729641599999,1654285791.66055570,3669291,12400.51857000,834160889.23987370,0
BTCUSDT,1d,1729641600000,67426.01000000,67472.83000000,65260.00000000,66668.65000000,25530.24070000,1729727999999,1695101430.91874660,3807365,11888.33995000,789384635.11068600,0
BTCUSDT,1d,1729728000000,66668.65000000,68850.00000000,66510.00000000,68198.28000000,22589.83877000,1729814399999,1526736320.91293800,3797462,11502.58514000,777936396.52474600,0
BTCUSDT,1d,1729814400000,68198.27000000,68771.49000000,65596.29000000,66698.33000000,34479.71125000,1729900799999,2320667435.29325390,5332593,16031.03200000,1079347459.15496360,0
BTCUSDT,1d,1729900800000,66698.32000000,67454.55000000,66439.90000000,67092.76000000,11842.90770000,1729987199999,792887047.14789200,2373501,6069.18986000,406369780.15329440,0
BTCUSDT,1d,1729987200000,67092.76000000,68332.05000000,66913.73000000,68021.70000000,8653.19592000,1730073599999,585006148.47048090,1771989,4417.73620000,298699666.99843930,0
BTCUSDT,1d,1730073600000,68021.69000000,70270.00000000,67618.00000000,69962.21000000,29046.75459000,1730159999999,2005105729.81744490,4432446,15218.34976000,1051606096.42982590,0
BTCUSDT,1d,1730160000000,69962.21000000,73620.12000000,69760.00000000,72736.42000000,50128.60594000,1730246399999,3602465986.89175740,5645430,26898.46516000,1932608784.16303730,0
BTCUSDT,1d,1730246400000,72736.41000000,72961.00000000,71436.00000000,72344.74000000,26885.99056000,1730332799999,1941210537.28828680,4040734,13487.21433000,973898183.74672780,0
BTCUSDT,1d,1730332800000,72344.75000000,72700.00000000,69685.76000000,70292.01000000,29352.10297000,1730419199999,2091144977.49468470,4525542,14205.13879000,1012048241.84989380,0
BTCUSDT,1d,1730419200000,70292.01000000,71632.95000000,68820.14000000,69496.01000000,38301.86755000,1730505599999,2677358022.00497000,4569271,18044.16220000,1261663986.75969040,0
BTCUSDT,1d,1730505600000,69496.00000000,69914.37000000,69000.14000000,69374.74000000,10521.67243000,1730591999999,731232427.63115480,1603561,5227.50713000,363370734.81580110,0
BTCUSDT,1d,1730592000000,69374.74000000,69391.00000000,67478.73000000,68775.99000000,24995.70243000,1730678399999,1709666206.40620230,3668029,12277.58177000,839939073.13895770,0
BTCUSDT,1d,1730678400000,68775.99000000,69500.00000000,66835.00000000,67850.01000000,29800.39187000,1730764799999,2033902307.00277610,5377048,14927.24077000,1019257547.52468490,0
BTCUSDT,1d,1730764800000,67850.01000000,70577.91000000,67476.63000000,69372.01000000,33355.06888000,1730851199999,2310418908.06992200,4955644,17059.88663000,1181816730.92378330,0
